=== Centroid Per-Category Accuracy ===

Category                                      | all-MiniLM-L6-v2     | all-MiniLM-L12-v2    | paraphrase-MiniLM-L3-v2 | all-mpnet-base-v2    | bge-small-en-v1.5   
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
Agriculture and food                          | 86% (s:36)           | 100% (s:36)          | 100% (s:36)          | 86% (s:36)           | 100% (s:36)         
Business and consumer services and culture    | 97% (s:117)          | 91% (s:117)          | 95% (s:117)          | 94% (s:117)          | 97% (s:117)         
Business performance and ownership            | 39% (s:23)           | 43% (s:23)           | 39% (s:23)           | 43% (s:23)           | 35% (s:23)          
Children and youth                            | 7% (s:14)            | 36% (s:14)           | 21% (s:14)           | 0% (s:14)            | 50% (s:14)          
Construction                                  | 100% (s:4)           | 100% (s:4)           | 75% (s:4)            | 25% (s:4)            | 25% (s:4)           
Crime and justice                             | 100% (s:19)          | 100% (s:19)          | 100% (s:19)          | 100% (s:19)          | 100% (s:19)         
Digital economy and society                   | 0% (s:12)            | 8% (s:12)            | 33% (s:12)           | 25% (s:12)           | 17% (s:12)          
Economic accounts                             | 100% (s:16)          | 100% (s:16)          | 100% (s:16)          | 100% (s:16)          | 100% (s:16)         
Education, training and learning              | 84% (s:32)           | 84% (s:32)           | 81% (s:32)           | 81% (s:32)           | 81% (s:32)          
Energy                                        | 86% (s:21)           | 86% (s:21)           | 86% (s:21)           | 86% (s:21)           | 86% (s:21)          
Environment                                   | 50% (s:20)           | 35% (s:20)           | 25% (s:20)           | 30% (s:20)           | 20% (s:20)          
Families, households and marital status       | 80% (s:5)            | 60% (s:5)            | 80% (s:5)            | 60% (s:5)            | 100% (s:5)          
Government                                    | 6% (s:36)            | 8% (s:36)            | 8% (s:36)            | 8% (s:36)            | 6% (s:36)           
Health                                        | 41% (s:122)          | 38% (s:122)          | 39% (s:122)          | 38% (s:122)          | 39% (s:122)         
Housing                                       | 14% (s:28)           | 11% (s:28)           | 14% (s:28)           | 21% (s:28)           | 11% (s:28)          
Immigration and ethnocultural diversity       | 100% (s:41)          | 100% (s:41)          | 100% (s:41)          | 100% (s:41)          | 100% (s:41)         
Income, pensions, spending and wealth         | 24% (s:160)          | 26% (s:160)          | 28% (s:160)          | 27% (s:160)          | 24% (s:160)         
Indigenous peoples                            | 100% (s:5)           | 40% (s:5)            | 40% (s:5)            | 100% (s:5)           | 80% (s:5)           
International trade                           | 31% (s:29)           | 14% (s:29)           | 28% (s:29)           | 24% (s:29)           | 24% (s:29)          
Labour                                        | 17% (s:107)          | 25% (s:107)          | 26% (s:107)          | 21% (s:107)          | 12% (s:107)         
Languages                                     | 33% (s:6)            | 33% (s:6)            | 33% (s:6)            | 33% (s:6)            | 17% (s:6)           
Manufacturing                                 | 40% (s:30)           | 33% (s:30)           | 47% (s:30)           | 20% (s:30)           | 23% (s:30)          
Older adults and population aging             | 0% (s:0)             | 0% (s:0)             | 0% (s:0)             | 0% (s:0)             | 0% (s:0)            
Population and demography                     | 32% (s:216)          | 32% (s:216)          | 33% (s:216)          | 37% (s:216)          | 42% (s:216)         
Prices and price indexes                      | 86% (s:64)           | 88% (s:64)           | 84% (s:64)           | 83% (s:64)           | 89% (s:64)          
Retail and wholesale                          | 46% (s:35)           | 46% (s:35)           | 49% (s:35)           | 46% (s:35)           | 46% (s:35)          
Science and technology                        | 0% (s:13)            | 0% (s:13)            | 8% (s:13)            | 0% (s:13)            | 31% (s:13)          
Society and community                         | 3% (s:270)           | 4% (s:270)           | 5% (s:270)           | 6% (s:270)           | 11% (s:270)         
Statistical methods                           | 100% (s:1)           | 100% (s:1)           | 100% (s:1)           | 100% (s:1)           | 100% (s:1)          
Transportation                                | 100% (s:52)          | 100% (s:52)          | 100% (s:52)          | 100% (s:52)          | 100% (s:52)         
Travel and tourism                            | 0% (s:26)            | 0% (s:26)            | 0% (s:26)            | 4% (s:26)            | 4% (s:26)           
