model,split,epoch,accuracy
Xenova/all-MiniLM-L6-v2,train,0,0.5279858708381653
Xenova/all-MiniLM-L6-v2,val,0,0.3900311589241028
Xenova/all-MiniLM-L6-v2,test,0,0.5346153974533081
Xenova/all-MiniLM-L6-v2,train,1,0.7934087514877319
Xenova/all-MiniLM-L6-v2,val,1,0.3725856840610504
Xenova/all-MiniLM-L6-v2,test,1,0.5730769038200378
Xenova/all-MiniLM-L6-v2,train,2,0.8386218547821045
Xenova/all-MiniLM-L6-v2,val,2,0.38068535923957825
Xenova/all-MiniLM-L6-v2,test,2,0.571794867515564
Xenova/all-MiniLM-L6-v2,train,3,0.8613646030426025
Xenova/all-MiniLM-L6-v2,val,3,0.37196260690689087
Xenova/all-MiniLM-L6-v2,test,3,0.5429487228393555
Xenova/all-MiniLM-L6-v2,train,4,0.8781152367591858
Xenova/all-MiniLM-L6-v2,val,4,0.3657320737838745
Xenova/all-MiniLM-L6-v2,test,4,0.5108974575996399
Xenova/all-MiniLM-L6-v2,train,5,0.8925507664680481
Xenova/all-MiniLM-L6-v2,val,5,0.3626168370246887
Xenova/all-MiniLM-L6-v2,test,5,0.5051282048225403
Xenova/all-MiniLM-L6-v2,train,6,0.9027645587921143
Xenova/all-MiniLM-L6-v2,val,6,0.3725856840610504
Xenova/all-MiniLM-L6-v2,test,6,0.5108974575996399
Xenova/all-MiniLM-L6-v2,train,7,0.9105270504951477
Xenova/all-MiniLM-L6-v2,val,7,0.37632399797439575
Xenova/all-MiniLM-L6-v2,test,7,0.5230769515037537
Xenova/all-MiniLM-L6-v2,train,8,0.9170638918876648
Xenova/all-MiniLM-L6-v2,val,8,0.35638630390167236
Xenova/all-MiniLM-L6-v2,test,8,0.5057692527770996
Xenova/all-MiniLM-L6-v2,train,9,0.9227836728096008
Xenova/all-MiniLM-L6-v2,val,9,0.3632398843765259
Xenova/all-MiniLM-L6-v2,test,9,0.5128205418586731
Xenova/all-MiniLM-L6-v2,train,10,0.9286395907402039
Xenova/all-MiniLM-L6-v2,val,10,0.3601246178150177
Xenova/all-MiniLM-L6-v2,test,10,0.5185897350311279
Xenova/all-MiniLM-L6-v2,train,11,0.9325889348983765
Xenova/all-MiniLM-L6-v2,val,11,0.33831775188446045
Xenova/all-MiniLM-L6-v2,test,11,0.5032051205635071
Xenova/all-MiniLM-L6-v2,train,12,0.9343593120574951
Xenova/all-MiniLM-L6-v2,val,12,0.34953272342681885
Xenova/all-MiniLM-L6-v2,test,12,0.5102564096450806
Xenova/all-MiniLM-L6-v2,train,13,0.9417132139205933
Xenova/all-MiniLM-L6-v2,val,13,0.3570093512535095
Xenova/all-MiniLM-L6-v2,test,13,0.5160256624221802
Xenova/all-MiniLM-L6-v2,train,14,0.9463434815406799
Xenova/all-MiniLM-L6-v2,val,14,0.36822429299354553
Xenova/all-MiniLM-L6-v2,test,14,0.5108974575996399
Xenova/all-MiniLM-L6-v2,train,15,0.949884295463562
Xenova/all-MiniLM-L6-v2,val,15,0.36386293172836304
Xenova/all-MiniLM-L6-v2,test,15,0.5147435665130615
Xenova/all-MiniLM-L6-v2,train,16,0.9519270658493042
Xenova/all-MiniLM-L6-v2,val,16,0.35077881813049316
Xenova/all-MiniLM-L6-v2,test,16,0.5115384459495544
Xenova/all-MiniLM-L6-v2,train,17,0.955059289932251
Xenova/all-MiniLM-L6-v2,val,17,0.34641745686531067
Xenova/all-MiniLM-L6-v2,test,17,0.49935898184776306
Xenova/all-MiniLM-L6-v2,train,18,0.9569658637046814
Xenova/all-MiniLM-L6-v2,val,18,0.35950157046318054
Xenova/all-MiniLM-L6-v2,test,18,0.5083333253860474
Xenova/all-MiniLM-L6-v2,train,19,0.9607790112495422
Xenova/all-MiniLM-L6-v2,val,19,0.3470405042171478
Xenova/all-MiniLM-L6-v2,test,19,0.5083333253860474
Xenova/all-MiniLM-L6-v2,train,20,0.9640474319458008
Xenova/all-MiniLM-L6-v2,val,20,0.3489096462726593
Xenova/all-MiniLM-L6-v2,test,20,0.5147435665130615
Xenova/all-MiniLM-L6-v2,train,21,0.9645921587944031
Xenova/all-MiniLM-L6-v2,val,21,0.36074766516685486
Xenova/all-MiniLM-L6-v2,test,21,0.5185897350311279
Xenova/all-MiniLM-L6-v2,train,22,0.9671796560287476
Xenova/all-MiniLM-L6-v2,val,22,0.35950157046318054
Xenova/all-MiniLM-L6-v2,test,22,0.517307698726654
Xenova/all-MiniLM-L6-v2,train,23,0.9699033498764038
Xenova/all-MiniLM-L6-v2,val,23,0.3632398843765259
Xenova/all-MiniLM-L6-v2,test,23,0.5153846144676208
Xenova/all-MiniLM-L6-v2,train,24,0.9720823168754578
Xenova/all-MiniLM-L6-v2,val,24,0.35077881813049316
Xenova/all-MiniLM-L6-v2,test,24,0.5128205418586731
Xenova/all-MiniLM-L6-v2,train,25,0.9720823168754578
Xenova/all-MiniLM-L6-v2,val,25,0.3514018654823303
Xenova/all-MiniLM-L6-v2,test,25,0.5057692527770996
Xenova/all-MiniLM-L6-v2,train,26,0.9756230711936951
Xenova/all-MiniLM-L6-v2,val,26,0.34828659892082214
Xenova/all-MiniLM-L6-v2,test,26,0.5
Xenova/all-MiniLM-L6-v2,train,27,0.9769849181175232
Xenova/all-MiniLM-L6-v2,val,27,0.34953272342681885
Xenova/all-MiniLM-L6-v2,test,27,0.5019230842590332
Xenova/all-MiniLM-L6-v2,train,28,0.9788914918899536
Xenova/all-MiniLM-L6-v2,val,28,0.3532710373401642
Xenova/all-MiniLM-L6-v2,test,28,0.5064102411270142
Xenova/all-MiniLM-L6-v2,train,29,0.9803895354270935
Xenova/all-MiniLM-L6-v2,val,29,0.3532710373401642
Xenova/all-MiniLM-L6-v2,test,29,0.5076923370361328
Xenova/all-MiniLM-L12-v2,train,0,0.522402286529541
Xenova/all-MiniLM-L12-v2,val,0,0.3937694728374481
Xenova/all-MiniLM-L12-v2,test,0,0.5185897350311279
Xenova/all-MiniLM-L12-v2,train,1,0.7898679375648499
Xenova/all-MiniLM-L12-v2,val,1,0.38629284501075745
Xenova/all-MiniLM-L12-v2,test,1,0.5634615421295166
Xenova/all-MiniLM-L12-v2,train,2,0.841209352016449
Xenova/all-MiniLM-L12-v2,val,2,0.3601246178150177
Xenova/all-MiniLM-L12-v2,test,2,0.5307692289352417
Xenova/all-MiniLM-L12-v2,train,3,0.8672205209732056
Xenova/all-MiniLM-L12-v2,val,3,0.37071651220321655
Xenova/all-MiniLM-L12-v2,test,3,0.5269230604171753
Xenova/all-MiniLM-L12-v2,train,4,0.8794770836830139
Xenova/all-MiniLM-L12-v2,val,4,0.35514017939567566
Xenova/all-MiniLM-L12-v2,test,4,0.5057692527770996
Xenova/all-MiniLM-L12-v2,train,5,0.8910527229309082
Xenova/all-MiniLM-L12-v2,val,5,0.3601246178150177
Xenova/all-MiniLM-L12-v2,test,5,0.5083333253860474
Xenova/all-MiniLM-L12-v2,train,6,0.9018113017082214
