=== MLP Per-Category Accuracy ===

Category                                      | all-MiniLM-L6-v2     | all-MiniLM-L12-v2    | paraphrase-MiniLM-L3-v2 | all-mpnet-base-v2    | bge-small-en-v1.5   
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
Agriculture and food                          | 100% (s:36)          | 100% (s:36)          | 100% (s:36)          | 100% (s:36)          | 100% (s:36)         
Business and consumer services and culture    | 76% (s:117)          | 71% (s:117)          | 74% (s:117)          | 80% (s:117)          | 82% (s:117)         
Business performance and ownership            | 48% (s:23)           | 35% (s:23)           | 35% (s:23)           | 39% (s:23)           | 35% (s:23)          
Children and youth                            | 43% (s:14)           | 50% (s:14)           | 36% (s:14)           | 36% (s:14)           | 50% (s:14)          
Construction                                  | 25% (s:4)            | 25% (s:4)            | 25% (s:4)            | 50% (s:4)            | 25% (s:4)           
Crime and justice                             | 100% (s:19)          | 100% (s:19)          | 100% (s:19)          | 100% (s:19)          | 100% (s:19)         
Digital economy and society                   | 17% (s:12)           | 8% (s:12)            | 17% (s:12)           | 17% (s:12)           | 17% (s:12)          
Economic accounts                             | 100% (s:16)          | 100% (s:16)          | 94% (s:16)           | 94% (s:16)           | 100% (s:16)         
Education, training and learning              | 59% (s:32)           | 59% (s:32)           | 59% (s:32)           | 72% (s:32)           | 63% (s:32)          
Energy                                        | 86% (s:21)           | 86% (s:21)           | 86% (s:21)           | 86% (s:21)           | 86% (s:21)          
Environment                                   | 15% (s:20)           | 15% (s:20)           | 15% (s:20)           | 15% (s:20)           | 15% (s:20)          
Families, households and marital status       | 20% (s:5)            | 20% (s:5)            | 20% (s:5)            | 0% (s:5)             | 0% (s:5)            
Government                                    | 19% (s:36)           | 17% (s:36)           | 14% (s:36)           | 14% (s:36)           | 14% (s:36)          
Health                                        | 43% (s:122)          | 51% (s:122)          | 49% (s:122)          | 58% (s:122)          | 38% (s:122)         
Housing                                       | 43% (s:28)           | 57% (s:28)           | 54% (s:28)           | 50% (s:28)           | 43% (s:28)          
Immigration and ethnocultural diversity       | 100% (s:41)          | 100% (s:41)          | 100% (s:41)          | 100% (s:41)          | 100% (s:41)         
Income, pensions, spending and wealth         | 68% (s:160)          | 69% (s:160)          | 69% (s:160)          | 56% (s:160)          | 58% (s:160)         
Indigenous peoples                            | 0% (s:5)             | 20% (s:5)            | 0% (s:5)             | 20% (s:5)            | 20% (s:5)           
International trade                           | 17% (s:29)           | 17% (s:29)           | 14% (s:29)           | 24% (s:29)           | 14% (s:29)          
Labour                                        | 16% (s:107)          | 19% (s:107)          | 16% (s:107)          | 19% (s:107)          | 15% (s:107)         
Languages                                     | 0% (s:6)             | 17% (s:6)            | 0% (s:6)             | 0% (s:6)             | 0% (s:6)            
Manufacturing                                 | 10% (s:30)           | 7% (s:30)            | 3% (s:30)            | 3% (s:30)            | 3% (s:30)           
Older adults and population aging             | -                    | -                    | -                    | -                    | -                   
Population and demography                     | 70% (s:216)          | 66% (s:216)          | 63% (s:216)          | 69% (s:216)          | 70% (s:216)         
Prices and price indexes                      | 98% (s:64)           | 100% (s:64)          | 100% (s:64)          | 98% (s:64)           | 98% (s:64)          
Retail and wholesale                          | 60% (s:35)           | 60% (s:35)           | 57% (s:35)           | 54% (s:35)           | 49% (s:35)          
Science and technology                        | 8% (s:13)            | 15% (s:13)           | 38% (s:13)           | 23% (s:13)           | 31% (s:13)          
Society and community                         | 14% (s:270)          | 18% (s:270)          | 14% (s:270)          | 16% (s:270)          | 13% (s:270)         
Statistical methods                           | 100% (s:1)           | 0% (s:1)             | 0% (s:1)             | 100% (s:1)           | 0% (s:1)            
Transportation                                | 96% (s:52)           | 96% (s:52)           | 96% (s:52)           | 100% (s:52)          | 96% (s:52)          
Travel and tourism                            | 0% (s:26)            | 0% (s:26)            | 0% (s:26)            | 4% (s:26)            | 4% (s:26)           
